"Title","Address","Decision","Decision Date"
"Lonyo Market","6200 Lonyo St., Detroit, MI 48210-1813","Permanent Disqualification","10/25/2016"
"AS Grocery","1541 SE 12th Ave.,     Suite 5, Homestead, FL 33034","Permanent Disqualification","10/24/2016"
"George A. Heimos Produce Co.","34 Produce Row, Saint Louis, MO 63102","Withdrawal","10/20/2016"
"Tortilleria Fritanga Gonzalez","153 W. 21st St.,     Suite A, Hialeah, FL 33010-2622","Term Disqualification","10/27/2016"
"Nunez Supermarket Corp.","159 Sanford St., East Orange, NJ 07018","Term Disqualification","10/24/2016"
"1798 Westchester Halal Meat & Grocery Corp.","1798-A Westchester Ave., Bronx, NY 10472","Denial","11/17/2016"
"Crab Connection","11 Main St., Dover, DE 19901","Denial","11/03/2016"
"Homespun Health LLC","50 W. Edson Ave., Colorado City, AZ 86021","Denial","11/29/2016"
"Lolita Parlour","370 Black Oak Court SW , Marietta, GA 30008","Denial","11/29/2016"
"Marathon #9","3296 Summit Ridge Parkway ,     Suite 1710, Duluth, GA 30096","Denial","11/09/2016"
"Sam’s Kwik Stop","7680 Estrella Circle , Boca Raton, FL 33433","Denial","11/29/2016"
"Fruit on Deck","572 White St., Daytona Beach,, FL 32114","Denial","11/23/2016"
"Express Zone","209 Wattling Road, West Columbia, SC 29170-2223","Term Disqualification","10/19/2016"
"RR&C Food Corp.","1223 Boston Road, Bronx, NY 10456-3601","Term Disqualification","10/28/2016"
"Save Way","1802 SE 14th St., Grand Prairie, TX 75051-4240","Term Disqualification","10/31/2016"
"Vic Market","4566 D St., Philadelphia, PA 19120-4525","Term Disqualification","10/25/2016"
"A&A Corner Grocery","2520 Foothill Blvd., Oakland, CA 94601-1139","Permanent Disqualification","10/03/2016"
"Busy Bee","336 S. Monroe St., Baltimore, MD 21223-3016","Term Disqualification","10/20/2016"
"Canal One Stop","1267 Trojan Road, Cross, SC 29436-3577","Term Disqualification","10/25/2016"
"Hanna Deli & Grocery Corp.","2570 86th St., Brooklyn, NY 11214","Term Disqualification","10/04/2016"
"South Perry BP","762 S. Perry St., Montgomery, AL 36104-5018","Term Disqualification","10/24/2016"
"U.S. Tobacco & Beer","1270 Getwell Road, Memphis, TN 38111-7345","Permanent Disqualification","10/17/2016"
"AZ  Market LLC","110 N. Hermitage Ave., Trenton, NJ 08618","Denial","11/09/2016"
"Albuquerque Rescue Mission","214 Coal Ave. SW, Albuquerque,, NM 87102","Denial","11/29/2016"
"Hernandez Tortilla Co.","2104 Tulipan St., Brownsville, TX 78521","Denial","11/10/2016"
"Iraqi Bakery & Fish Inc.","24546 Ford Road, Dearborn Heights, MI 48127","Denial","11/02/2016"
"Bargain Food Center","626 S. Main St., Waterbury, CT 06706","Term Disqualification","03/13/2017"
"JJ Quick Choice","723 W. McDowell Road, Jackson, MS 39204","Term Disqualification","10/31/2016"
"JP Market","1174  Lake Murray Blvd., Irmo, SC 29063","Term Disqualification","10/31/2016"
"Moon Mini Mart","923 E. Patapsco Ave., Brooklyn, MD 21225","Civil Money Penalty","10/18/2016"
"Pikes Peak Market","1318  Fillmore Ave., Buffalo, NY 14211-1214","Term Disqualification","10/13/2016"
"Ridge Deli LLC","215 Ridge Road, North Arlington, NJ 07031","Term Disqualification","10/12/2016"
"Ron Mini Market","4709 S. Broadway, Los Angeles, CA 90037","Term Disqualification","10/11/2016"
"Target Stores","6700  Peach St.,     Store Number :  1287, Erie, PA 16509","Term Disqualification","10/25/2016"
"Twin Grocery","1001 Upland St., Chester,, PA 19013","Term Disqualification","10/26/2016"
"MVP Sandwich Inc.","3201 N. Randolph St., Philadelphia, PA 19140-5627","Withdrawal","03/29/2017"
"Lee's Cakes","356 Sheridan St., Johnstown, PA 15906","Denial","03/30/2017"
"Reda Group & Gas & Food","13841 Ford Road, Dearborn, MI 48126","Withdrawal","03/27/2017"
"Medical Center Shell","5643 Fredericksburg Road, San Antonio, TX 78229-3405","Term Disqualification","03/23/2017"
"Star Meat & Food Mart","14113 US Highway 98 Bypass, Dade City, FL 33525","Term Disqualification","03/27/2017"
"Guanajuato Mexican Store","2108 Triana Blvd. SW,     Suite D, Huntsville, AL 35805","Denial","03/14/2017"
"International Market LLC","8816 Gravois Road, Saint Louis, MO 63123","Permanent Disqualification","03/20/2017"
"Pan Am Supermarket","151 Nellie B Ave., Athens, GA 30601","Term Disqualification","03/20/2017"
"Samar Food Mart","622 S. Breiel Blvd., Middletown, OH 45044","Denial","03/22/2017"
"Food Express","1690 W. Airport Blvd., Sanford, FL 32773","Denial","03/21/2017"
"14th Street Grocery","398 14th St. NW, Atlanta, GA 30318-5365","Permanent Disqualification","03/30/2017"
"Deli International","57 Blackhall St., New London, CT 06320","Permanent Disqualification","03/27/2017"
"Derby Area Mini Mart","1602 Spring St., Jeffersonville, IN 47130","Permanent Disqualification","03/28/2017"
"Quick Save","2542  Reverend Richard Wilson Drive, Kenner, LA 70062","Term Disqualification","03/27/2017"
"Crestline Mart","4713 N. Crestline St., Spokane, WA 99207","Permanent Disqualification","11/08/2016"
"207 Inc. II","3867 10th Ave., New York, NY 10034","Permanent Disqualification","11/22/2016"
"Peachtree Food Mart","227 Peachtree St. SW,     Suite 1, Atlanta, GA 30303","Permanent Disqualification","11/14/2016"
"Raceway 901","1203 Quintard Drive, Oxford, AL 36203","Permanent Disqualification","11/02/2016"
"Arena Supermarket","1201 NW First Place, Miami, FL 33136","Permanent Disqualification","03/14/2017"
"Vine City Supermarket","901 Joseph E. Boone Blvd. NW, Atlanta, GA 30314","Permanent Disqualification","03/23/2017"
"Supermercado El Paisano","2845 E. Michigan St., Indianapolis, IN 46201","Permanent Disqualification","03/24/2017"
"Eagle Lake Supermarket","200 S. McCarty Ave., Eagle Lake, TX 77434","Permanent Disqualification","03/22/2017"
"ADA Food Market","44 Boston Post Road, Willimantic, CT 06226","Permanent Disqualification","03/16/2017"
"Tork's Cafe & Grocery","3502 E. Grant Road, Tucson, AZ 85716-2957","Permanent Disqualification","03/23/2017"
"Noor Market","4701 NW 17th Ave., Miami,, FL 33142-4134","Permanent Disqualification","03/22/2017"
"Brunish Grocery","577 Lincoln Ave., Pottstown, PA 19464-4766","Permanent Disqualification","03/21/2017"
"Michael Anthony's Buonaroma Liquor & Deli","3314 Alhambra Ave., Martinez, CA 94553","Term Disqualification","03/20/2017"
"82 Food Mart","134 Spout Springs Road, Irvine, KY 40336","Permanent Disqualification","03/23/2017"
"Hawary Investment Inc.","3278  Livernois Ave., Detroit, MI 48210-2943","Term Disqualification","03/15/2017"
"Always Sonny Cupcakes","5600 Harvey St., Muskegon,, MI 49444-8784","Denial","03/28/2017"
"La Preferida Grocery Deli","66 E. Kennedy Blvd., Lakewood, NJ 08701","Permanent Disqualification","10/12/2016"
"Win FA Market","4 Lake Ave., Rochester, NY 14608-1408","Permanent Disqualification","10/07/2016"
"Cibao Meat Market & Grocery","145 Passaic St., Passaic, NJ 07055","Permanent Disqualification","10/26/2016"
"Boss T","1550 N. T St., Pensacola, FL 32505","Permanent Disqualification","10/31/2016"
"Asian Food Market","1509 E. 10th St., Sioux Falls, SD 57103","Permanent Disqualification","11/30/2016"
"J&W Grocery","260-261 Richmond, Christiansted, VI 00851","Permanent Disqualification","11/22/2016"
"Keleta Village Mart","247 Cannon Drive SE, Social Circle, GA 30025-3051","Permanent Disqualification","10/05/2016"
"475 Candy Grocery Corp.","475 Fifth Ave., Brooklyn, NY 11215","Permanent Disqualification","12/14/2016"
"A&K Convenient Corp.","825 W. Jefferson St., Joliet, IL 60435","Permanent Disqualification","12/19/2016"
"Abram Party Store LLC #1","31370 Groesbeck Highway, Fraser, MI 48026","Denial","12/08/2016"
"AJ’s Mini Mart #2 Inc.","137 Pulaski Blvd., Bellingham, MA 02019","Term Disqualification","11/30/2016"
"Blue Hill Convenience","137-B Blue Hill Ave., Roxbury, MA 02119","Civil Money Penalty","12/12/2016"
"B&W Grocery","7285 E. Highway 70, Yosemite, KY 42566","Permanent Disqualification","12/28/2016"
"Canada Town Market","2603 W. Highway 204, Williamsburg, KY 40769","Permanent Disqualification","12/12/2016"
"Chula Vista Ice Cream","163 Mace St., Chula Vista, CA 91911","Term Disqualification","12/02/2016"
"Dean Food Market","1601 S. Chadwick St., Philadelphia, PA 19145","Term Disqualification","12/12/2016"
"Eden Gourmet Deli & Grocery Corp.","1190 Cromwell Ave., Bronx, NY 10452","Permanent Disqualification","12/09/2016"
"Guy’s Variety Discount Store","1 Dewey St., Charleston, SC 29403","Permanent Disqualification","12/06/2016"
"K’s Ultimate Vending","22 Crescent St., Elgin, IL 60123","Term Disqualification","12/13/2016"
"La Poblanita Bakery","39470 170th St. E, Palmdale, CA 93591","Term Disqualification","12/19/2016"
"Lashish 1 Inc.","4060 Packard Road, Ann Arbor, MI 48108","Term Disqualification","12/20/2016"
"Lombard AM/PM","5284 N. Lombard St., Portland, OR 97203","Term Disqualification","12/05/2016"
"Low Downs","118 S. Seventh St., Steubenville, OH 43952","Permanent Disqualification","12/20/2016"
"Maricopa Pizza I LLC dba Pizza Patron 0018","8243 W. Indian School Road, Phoenix, AZ 85033","Term Disqualification","12/13/2016"
"Maricopa Pizza II LLC dba Pizza Patron 0030","1640 N. 36th St. ,     Suite 101-A, Phoenix, AZ 85008","Term Disqualification","12/13/2016"
"Maricopa Pizza III LLC dba Pizza Patron 0031","5814 W. Olive Ave.,     Suite 105, Glendale, AZ 85302","Term Disqualification","12/13/2016"
"Maricopa Pizza IV LLC dba Pizza Patron 0032","1440 N. Dysart Road,     Suite 102, Avondale, AZ 85323","Term Disqualification","12/13/2016"
"Maricopa Pizza IX LLC dba Pizza Patron 79","825 W. Southern Ave. ,     Suite 108, Phoenix, AZ 85041","Term Disqualification","12/13/2016"
"Maricopa Pizza V LLC dba Pizza Patron 0035","354 N. Country Club Drive ,     Suite 101, Mesa, AZ 85201","Term Disqualification","12/13/2016"
"Maricopa Pizza VI LLC dba Pizza Patron 0046","7625 W. Lower Buckeye Road ,     Suite 155, Phoenix, AZ 85043","Term Disqualification","12/13/2016"
"Maricopa Pizza VII LLC dba Pizza Patron 52","7602 S. Central Ave. ,     Suite 101, Phoenix, AZ 85042","Term Disqualification","12/13/2016"
"Maricopa Pizza VIII LLC dba Pizza Patron 65","6544 W. Thomas Road ,     Suite 42, Phoenix, AZ 85033","Term Disqualification","12/13/2016"
"Maricopa Pizza X LLC dba Pizza Patron 83","6815 N. 19th Ave.,     Suite 145, Phoenix, AZ 85015","Term Disqualification","12/13/2016"
"Maricopa Pizza XI LLC dba Pizza Patron 104","1134 S. Stapley Drive,     Suite 104, Mesa, AZ 85204","Term Disqualification","12/13/2016"
"Mullins Market Inc.","3011 Imperial Ave., San Diego, CA 92102","Civil Money Penalty","12/06/2016"
"Neerob Bazar Inc.","2085 Starling Ave., Bronx, NY 10462","Denial","12/05/2016"
"O&K NY Corp.","7527 Parsons Blvd., Fresh Meadows, NY 11366","Term Disqualification","12/19/2016"
"Ocean Live Poultry Market","79 Ocean Ave., Jersey City, NJ 07305","Withdrawal","12/15/2016"
"Snacks N Smokes","262 Fifth Ave., Pittsburgh, PA 15222","Denial","12/15/2016"
"Vega Grocery LLC","349 Rosa Parks Blvd., Paterson, NJ 07501","Civil Money Penalty","11/30/2016"
"1105 Tinton Deli Grocery Corp.","1105 Tinton Ave.,     Front 1, Bronx, NY 10456","Permanent Disqualification","12/16/2016"
"1690 Meat & Grocery Inc.","1690 Gleason Ave., Bronx, NY 10472","Permanent Disqualification","10/06/2016"
"Al-Nile Grocery & Halal Meat","6502 Bellaire Blvd.,     Suite A-1, Houston, TX 77074","Permanent Disqualification","11/30/2016"
"BD Mart","432 Spear St., Dustin, OK 74839","Civil Money Penalty","12/16/2016"
"Bud’s Curb Market","1601 Buchanan St., Nashville, TN 37208","Permanent Disqualification","12/13/2016"
"CJ Supermarket","5843 N. Second St., Philadelphia, PA 19120","Permanent Disqualification","12/06/2016"
"Cocoa Chevron","2700 N. Cocoa Blvd., Cocoa, FL 32922","Permanent Disqualification","12/02/2016"
"Daniel's Deli & Grocery Corp.","51 E. Tremont Ave., Bronx, NY 10453","Permanent Disqualification","10/14/2016"
"Danny’s Market LLC","1497 County Hospital Road, Nashville, TN 37218","Permanent Disqualification","12/02/2016"
"Event Foods","408 Hickory Drive, Elberton, GA 30635","Withdrawal","12/06/2016"
"Family Market","4267 Ascot Ave., Los Angeles, CA 90011","Term Disqualification","12/28/2016"
"Fremont Arco #82807","5012 Stevenson Blvd., Fremont, CA 94538","Term Disqualification","12/21/2016"
"Genesis Grocery","450 New Britain Ave., Hartford, CT 06106","Term Disqualification","12/13/2016"
"Gloesis Group","800 Brown Trail,     Suite F, Bedford, TX 76022","","12/14/2016"
"Hollywood Food Mart","815 S. 21st Ave., Hollywood, FL 33020","Permanent Disqualification","12/09/2016"
"Kings Pharmacy LLC","4700 Schaefer Road,     Suite 162, Dearborn, MI 48126","Term Disqualification","12/20/2016"
"Kristin's Grocery","1901 W. 21st St., Chicago, IL 60608","Permanent Disqualification","12/20/2016"
"La Estrella Food Market","7000 W. Diversey Ave., Chicago, IL 60707","Term Disqualification","12/13/2016"
"Laura Food Mart Inc.","451 Classon Ave., Brooklyn, NY 11238","Term Disqualification","12/06/2016"
"Laura’s Dollar Discount","1944 NW 17th Ave.,     Suite C, Miami, FL 33125","Permanent Disqualification","12/07/2016"
"Lee’s Mart","800 E. Sixth St., Little Rock, AR 72202","Permanent Disqualification","12/21/2016"
"M&M One Stop Seafood","1208 Central Ave., Summerville, SC 29483","Term Disqualification","12/13/2016"
"Mangum Corner Store","2902 Mangum Road, Houston, TX 77092","Term Disqualification","12/15/2016"
"Mike’s Wings Waffle Burger & More LLC","1808 Monroe Ave. NW, Grand Rapids, MI 49505","Term Disqualification","12/12/2016"
"Minit Stop Food Store #21","7777 W. Gulf Bank Road, Houston, TX 77040","Permanent Disqualification","03/30/2017"
"Moe’s Grocery","1400 N. Kildare Ave., Chicago, IL 60651","Permanent Disqualification","12/13/2016"
"Morty’s Convenience Store","319 Calumet St., Lake Linden, MI 49945","Term Disqualification","12/27/2016"
"Mr. Mike Grocery","4701 NW 32nd Ave., Miami, FL 33142","Permanent Disqualification","12/07/2016"
"Nelly’s Deli & Grocery","983 Martin Luther King Jr. Blvd., Trenton, NJ 08638","Permanent Disqualification","12/22/2016"
"Olive Mini Mart Gas","1703 W. Olive Ave., Fresno, CA 93728","Civil Money Penalty","12/15/2016"
"Seven Days Deli & Grocery Inc.","9201 Foster Ave., Brooklyn, NY 11236","Term Disqualification","12/15/2016"
"Cypress Mini Mart","20925 Cypress Way,     Suite G, Lynnwood, WA 98036","Withdrawal","12/13/2016"
"K&K African Market LLC","996 S. Redwood Road,     Suite A, Salt Lake City, UT 84104","Permanent Disqualification","12/16/2016"
"Maddox Grocery & Liquor","3243 Fairmount Ave., San Diego, CA 92105","Permanent Disqualification","12/09/2016"
"Paulino Grocery","280 W. Wingohocking St., Philadelphia, PA 19140","Permanent Disqualification","12/05/2016"
"Raksha","4303 Ventnor Ave., Atlantic City, NJ 08401","Permanent Disqualification","12/13/2016"
"Sam Convenience Deli Corp.","1436 Beach Channel Drive, Far Rockaway, NY 11691","Term Disqualification","12/29/2016"
"Sam’s Food Mart #4","4140 Broad River Road, Columbia, SC 29210","Permanent Disqualification","12/20/2016"
"Sinclair Pump Mart","1118 N. Ninth St., Salina, KS 67401","Permanent Disqualification","12/08/2016"
"Skip’s Meat Market","786 Goodman St. N, Rochester, NY 14609","Civil Money Penalty","12/21/2016"
"Space Age #1","22 NW Division St., Gresham, OR 97030","Permanent Disqualification","12/01/2016"
"Takano Store LLC","167 S. Kamehameha Highway, Wahiawa, HI 96786","Term Disqualification","12/29/2016"
"The Discount Place","6111 W. Cermak Road, Cicero, IL 60804","Term Disqualification","12/05/2016"
"Tusu Market","3949 Gravois Ave., Saint Louis, MO 63116","Permanent Disqualification","12/06/2016"
"Uno Convenience","115 School St., Bristol, CT 06010","Permanent Disqualification","12/20/2016"
"York Food Market","532 Rose Hill Terrace, Baltimore, MD 21218","Permanent Disqualification","12/09/2016"
"A. Smith Store","1209 E. Residence Ave., Albany, GA 31705","Permanent Disqualification","11/03/2016"
"Al-awdi’s Mini Market","3841 West St., Oakland, CA 94608","Permanent Disqualification","11/21/2016"
"Albury Food Store","11127 Albury Drive, Houston, TX 77096","Permanent Disqualification","11/02/2016"
"Best Stop","2001 Camp Jackson Road, East Saint Louis, IL 62206","Permanent Disqualification","11/02/2016"
"Big B Supermarket","749 S. Westmoreland Drive, Orlando, FL 32805","Permanent Disqualification","11/29/2016"
"Bin-Hashim Marketplace & Deli Express Bolt Service","6172 University Ave., San Diego, CA 92115","Permanent Disqualification","11/01/2016"
"BJ Grocery & Food Store","843 S. Decatur St., Montgomery, AL 36104","Permanent Disqualification","11/07/2016"
"Bryant’s Food Store","136 Union St. E ,     Suite 1, Jacksonville, FL 32202","Permanent Disqualification","11/01/2016"
"Afnan Deli Corp.","1225 Fulton Ave., Bronx, NY 10456-3401","Permanent Disqualification","10/20/2016"
"Kings Market","20639 Fleatown Road, Lincoln, DE 19960","Permanent Disqualification","10/04/2016"
"LSO Food Market","2846 Highland Road, Baton Rouge, LA 70802","Permanent Disqualification","10/18/2016"
"Kwik Food Mart","5018 N. Armenia Ave., Tampa, FL 33603-1404","Permanent Disqualification","10/13/2016"
"DLS Fuel LLC","13300 Livernois Ave., Detroit, MI 48238","Permanent Disqualification","11/22/2016"
"Duverge Deli Food Corp.","1158 Gerard Ave., Bronx, NY 10452","Permanent Disqualification","11/22/2016"
"Exodo Grocery Store","1262 Spruce St., Reading, PA 19602","Permanent Disqualification","11/10/2016"
"Ghazi Food Mart","22 W. 154th St., Harvey, IL 60426","Permanent Disqualification","11/17/2016"
"Hawkin's Market","103 Hawkins St., Providence, RI 02908","Permanent Disqualification","11/15/2016"
"J&K Food Center Corp.","460 Quincy Ave., Bronx, NY 10465","Permanent Disqualification","11/21/2016"
"Katara Market","6703 S. Broadway, Saint Louis, MO 63111","Permanent Disqualification","11/01/2016"
"Krauszer's Food Mart","1114 S. Wood Ave., Linden, NJ 07036","Permanent Disqualification","11/17/2016"
"LM Deli Grocery","1836 Nereid Ave., Bronx, NY 10466","Permanent Disqualification","11/16/2016"
"La Altagracia Mini Market","336 W. Grape St., Vineland, NJ 08360","Permanent Disqualification","11/28/2016"
"La Mexicana Groceries","1710 Robertson Blvd., Chowchilla, CA 93610","Permanent Disqualification","11/22/2016"
"Los Pequeños","655 E. 187th St., Bronx, NY 10458","Permanent Disqualification","11/15/2016"
"Lucky Star LLC","300 E. High St., Pottstown, PA 19464","Permanent Disqualification","11/04/2016"
"Martha’s Food Market No.2","4501 N. Kedzie Ave., Chicago, IL 60625","Permanent Disqualification","11/09/2016"
"Muna Halal Market","4975 University Ave., San Diego, CA 92105","Permanent Disqualification","11/10/2016"
"Phillips 66 Kincaid","400 Springfield St., Kincaid, IL 62540","Permanent Disqualification","11/28/2016"
"R&G Grocery #2","323 Johnston Ave., Jersey City, NJ 07304","Permanent Disqualification","11/15/2016"
"RK Deli","1127 W. Third St., Jersey City, NJ 07304","Permanent Disqualification","11/08/2016"
"Summit Food Market","197 Summit Ave., Jersey City, NJ 07304","Permanent Disqualification","11/28/2016"
"T&M Deli Food Corp.","5284 N. Lombard St., Portland, OR 97203","Permanent Disqualification","11/14/2016"
"Wardworth Grocery #2","332 Hedges St., Natchitoches, LA 71457","Permanent Disqualification","11/21/2016"
"3rd Street Market & Deli","4600 E. Third St., Los Angeles, CA 90022","Term Disqualification","12/30/2016"
"1925 Nostrand Deli Corp./Lucky 7 Deli & Grill","1925 Nostrand Ave., Brooklyn, NY 11226","Permanent Disqualification","01/27/2017"
"1978 First Avenue News Stand Corp.","1978 First Ave., New York, NY 10029","Permanent Disqualification","01/05/2017"
"2000 Kims Enterprise","443 N. 63rd St., Philadelphia, PA 19151","Permanent Disqualification","01/11/2017"
"A&J Grocery","2925 Narrow Paved Road, Lynchburg, SC 29080","Permanent Disqualification","01/04/2017"
"A-1 Foods","1005 12th St. E, Tifton, GA 31794","Term Disqualification","01/23/2017"
"AA Food Mart Inc.","1785 Ellis Ave., Jackson, MS 39204","Term Disqualification","01/04/2017"
"Al Muath Grocery Inc.","56 New York Ave., Brooklyn, NY 11216","Permanent Disqualification","01/25/2017"
"Ala Cell","2817 Lower Wetumpka Road, Montgomery, AL 36110","Permanent Disqualification","01/17/2017"
"All Things Inc.","1123 Cass Ave. SE, Grand Rapids, MI 49507","Permanent Disqualification","01/26/2017"
"Amanecer Latino","701 Federal St., Philadelphia, PA 19147","Term Disqualification","01/19/2017"
"Tang’s Amber Mini Market Inc.","868 Utica Ave., Brooklyn, NY 11203","Permanent Disqualification","01/23/2017"
"Ananda Bazar & Grocery","2929 Atlantic Ave., Atlantic City, NJ 08401","Permanent Disqualification","01/24/2017"
"Angel’s Rosa Parks Food Center","92 Graham Ave., Paterson, NJ 07524","Permanent Disqualification","01/12/2017"
"Baba Grocery & Deli Corp.","1649 Bath Ave., Brooklyn, NY 11214","Civil Money Penalty","01/24/2017"
"Big Peach Mini Mart","426 S. Greenwood St., Lagrange, GA 30240","Term Disqualification","01/26/2017"
"BP Gas & Food","6300 S. Cass Ave., Westmont, IL 60559","Term Disqualification","01/19/2017"
"Brothers Deli & Market Inc.","315 E. High St., Pottstown, PA 19464","Permanent Disqualification","12/29/2016"
"C&F Convenient Food Store LLC","2475 Houston Ave., Macon, GA 31206","Permanent Disqualification","01/09/2017"
"Center Market","25 Tacoma St., Worcester, MA 01605","Permanent Disqualification","01/25/2017"
"City Line 1 Grocery Inc.","860 Walden Ave., Buffalo, NY 14211","Civil Money Penalty","01/31/2017"
"Crown Food Mart","908 Florida Ave. NW, Washington, DC 20001","Permanent Disqualification","01/11/2017"
"D&D Mini Market","5900 N. 12th St., Philadelphia, PA 19141","Term Disqualification","01/19/2017"
"Denise’s Grocery Store","378 Monroe St., Passaic, NJ 07055","Permanent Disqualification","01/10/2017"
"Derby Mini Market","51 Anson St., Derby, CT 06418","Permanent Disqualification","01/24/2017"
"Dulceria Tribi LLC","1135 N. Zaragoza Road, El Paso, TX 79907","Term Disqualification","01/03/2017"
"E&H Grocery Inc.","2439 Bond Ave., East Saint Louis, IL 62207","Permanent Disqualification","12/30/2016"
"EEM Deli & Grocery Inc.","231 Malcolm X Blvd., Brooklyn, NY 11221","Permanent Disqualification","01/12/2017"
"EZ Stop Food Market","1000 Power Ave.,     Suite A, Pittsburg, CA 94565","Civil Money Penalty","01/26/2017"
"Fatouche","1109 W. Broad St., Falls Church, VA 22046","Term Disqualification","01/20/2017"
"Food Tiger","2115 1/2 Jefferson Ave., Newport News, VA 23607","Permanent Disqualification","01/03/2017"
"Fred’s Deli","6245 Kennedy Blvd., North Bergen, NJ 07047","Permanent Disqualification","01/19/2017"
"George’s Food & Liquor","1744 N. Texas St., Fairfield, CA 94533","Term Disqualification","01/31/2017"
"Giant Marketplace II","15006 NE Sixth Ave., North Miami, FL 33161","Term Disqualification","01/10/2017"
"Glorious International Store","7225 Rising Sun Ave., Philadelphia, PA 19111","Permanent Disqualification","01/10/2017"
"Good Guys Grocery Store","10248 Jamaica Ave., Richmond Hill, NY 11418","Permanent Disqualification","01/17/2017"
"Gor's Shell","2301 S. Limestone St., Springfield, OH 45505","Term Disqualification","01/03/2017"
"H&A Mart Inc.","2308 Fort St., Lincoln Park, MI 48146","Term Disqualification","01/26/2017"
"Hi Low Gas","116 Ashley Blvd., New Bedford, MA 02746","Term Disqualification","01/04/2017"
"Higueyano Mini Market","426 W. Cayuga St., Philadelphia, PA 19140","Permanent Disqualification","01/05/2017"
"Imagine Multi Services","650 SW Port St Lucie Blvd., Port Saint Lucie, FL 34953","Term Disqualification","01/25/2017"
